GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion.seed,CorpusSeedRunner,318,0,10,0,71,0,13,0,8,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion.seed,CorpusProtocol,2,135,3,5,0,21,3,5,0,4
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion.seed,ProtocolDocumentRenderer,15,167,18,18,0,24,18,4,0,4
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion.seed,CorpusSeedProperties,0,9,0,0,0,1,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IngestionBacklogRunner,23,0,0,0,7,0,3,0,3,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IngestionBacklogService,60,89,3,3,8,21,6,5,4,4
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,EmbeddingProperties,18,30,8,0,1,1,5,1,1,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IngestionBacklogService.StatusCount,9,0,0,0,1,0,1,0,1,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IonosEmbeddingClient.EmbeddingResponse,41,0,8,0,6,0,6,0,2,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IonosEmbeddingClient.EmbeddingResponse.Item,6,0,0,0,1,0,1,0,1,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,EmbeddingBudget,65,82,1,3,11,21,3,6,2,5
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,FileStorageProperties,0,6,0,0,0,1,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,ProtocolIndexer.ProtocolRow,0,24,0,0,0,1,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,ProtocolIntakeService.NewProtocol,24,0,0,0,1,0,1,0,1,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,EmbeddingClient.EmbeddingException,5,4,0,0,2,2,1,1,1,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,ProtocolIntakeService,309,19,18,0,57,7,18,2,9,2
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,ProtocolIndexer,61,276,7,11,13,54,7,9,0,7
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,ProtocolIndexWriter,7,139,2,8,1,37,2,8,0,5
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IngestionAsyncConfig,0,50,0,0,0,13,0,3,0,3
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IngestionProperties,0,18,0,0,0,1,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IonosEmbeddingClient.EmbeddingResponse.Usage,9,0,0,0,1,0,1,0,1,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,ProtocolChunker,112,138,26,16,24,29,18,10,2,5
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,ProtocolReceivedEvent,0,6,0,0,0,1,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IngestionBacklogService.Usage,15,0,0,0,1,0,1,0,1,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IonosEmbeddingClient,405,89,38,0,76,17,26,2,7,2
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,EmbeddingBudget.BudgetExhaustedException,0,4,0,0,0,2,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,ProtocolIntakeService.InvalidProtocolException,4,0,0,0,2,0,1,0,1,0
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,EmbeddingClient.EmbeddingBatch,0,12,0,0,0,1,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.ingestion,IngestionEventListener,0,13,0,0,0,5,0,2,0,2
maintenance-assistant,com.keglevich.maintenanceassistant.web,SecurityConfig,0,93,0,0,0,14,0,9,0,9
maintenance-assistant,com.keglevich.maintenanceassistant.web,HealthController,1,20,1,1,0,6,1,2,0,2
maintenance-assistant,com.keglevich.maintenanceassistant.web,KeycloakRealmRoleConverter,0,59,0,6,0,15,0,7,0,4
maintenance-assistant,com.keglevich.maintenanceassistant.web,ProtocolUploadController,88,6,12,0,18,3,10,1,4,1
maintenance-assistant,com.keglevich.maintenanceassistant.web,HealthController.HealthResponse,0,9,0,0,0,1,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.web,IngestionAdminController,65,6,4,0,13,3,4,1,2,1
maintenance-assistant,com.keglevich.maintenanceassistant.web,HelloController.HelloResponse,0,9,0,0,0,1,0,1,0,1
maintenance-assistant,com.keglevich.maintenanceassistant.web,OpenApiConfig,0,45,0,0,0,13,0,2,0,2
maintenance-assistant,com.keglevich.maintenanceassistant.web,HelloController,0,24,0,0,0,7,0,3,0,3
maintenance-assistant,com.keglevich.maintenanceassistant,MaintenanceAssistantApplication,5,3,0,0,2,1,1,1,1,1
